country,gdp_capita,gdp_difference_with_average
Samoa,4223.588172,26.74%
San Marino,41415.66696,262.21%
Sao Tome and Principe,1422.948828,9.01%
Saudi Arabia,18856.91381,119.39%
Senegal,1391.046955,8.81%
Serbia,6552.084391,41.48%
Seychelles,15321.69133,97.01%
Sierra Leone,608.3381202,3.85%
Singapore,59175.81104,374.66%
Slovakia,17617.4487,111.54%
Slovenia,22963.93341,145.39%
Solomon Islands,2079.560354,13.17%
Somalia,511.8988094,3.24%
South Africa,5748.897845,36.40%
South Korea,31378.15793,198.66%
Spain,24829.64859,157.20%
Sri Lanka,4229.749594,26.78%
Sudan,1828.150024,11.57%
Suriname,7275.364964,46.06%
Swaziland,3672.653346,23.25%
Sweden,51952.67313,328.92%
Switzerland,84637.01323,535.86%
Syrian Arab Republic,754.6463283,4.78%
Tajikistan,1197.210683,7.58%
"Tanzania, United Republic of",1028.911865,6.51%
Thailand,6048.100269,38.29%
Timor-Leste,1986.883825,12.58%
Togo,830.0472324,5.26%
Tonga,4637.675453,29.36%
Trinidad and Tobago,14214.38682,89.99%
Tunisia,3699.283741,23.42%
Turkey,12179.66117,77.11%
Turkmenistan,7064.446507,44.73%
Turks and Caicos Islands,18122.42502,114.74%
Tuvalu,3976.796234,25.18%
Uganda,918.1200979,5.81%
Ukraine,2350.400146,14.88%
United Arab Emirates,41276.05551,261.33%
United Kingdom,42191.91737,267.13%
United States,58451.60672,370.07%
Uruguay,16459.97798,104.21%
Uzbekistan,3187.048974,20.18%
Vanuatu,2634.243884,16.68%
"Venezuela, Bolivarian Republic of",,0.00%
Viet Nam,3352.060011,21.22%
"Virgin Islands, British",,0.00%
"Virgin Islands, U.S.",35758.79476,226.40%
Yemen,1057.28167,6.69%
Zambia,1237.283303,7.83%
Zimbabwe,1213.117057,7.68%
